,sensorId_x,lon,lat,sensorId_y,boxId,boxName,phenomenon,sensorType,unit,day,value
24,5a0c347b9fd3c2001111b701,7.620606,51.921065,5a0c347b9fd3c2001111b702,5a0c347b9fd3c2001111b701,VennheideBox,PM2.5,SDS 011,µg/m³,2024-01-20T17:00:00.000Z,5.4109926715522985
25,5a0c347b9fd3c2001111b701,7.620606,51.921065,5a0c347b9fd3c2001111b702,5a0c347b9fd3c2001111b701,VennheideBox,PM2.5,SDS 011,µg/m³,2024-01-21T18:00:00.000Z,3.8415333333333335
26,5a0c347b9fd3c2001111b701,7.620606,51.921065,5a0c347b9fd3c2001111b702,5a0c347b9fd3c2001111b701,VennheideBox,PM2.5,SDS 011,µg/m³,2024-01-22T19:00:00.000Z,4.373351099267155
27,5abd221b850005001b1aff35,7.64153,51.973023,5abd221b850005001b1aff38,5abd221b850005001b1aff35,Feinstaub_MS_PIUSALLEE,PM2.5,SDS 011,µg/m³,2024-01-14T11:00:00.000Z,46.481807628524045
28,5abd221b850005001b1aff35,7.64153,51.973023,5abd221b850005001b1aff38,5abd221b850005001b1aff35,Feinstaub_MS_PIUSALLEE,PM2.5,SDS 011,µg/m³,2024-01-15T12:00:00.000Z,46.36074750830564
29,5abd221b850005001b1aff35,7.64153,51.973023,5abd221b850005001b1aff38,5abd221b850005001b1aff35,Feinstaub_MS_PIUSALLEE,PM2.5,SDS 011,µg/m³,2024-01-16T13:00:00.000Z,46.16074750830565
30,5abd221b850005001b1aff35,7.64153,51.973023,5abd221b850005001b1aff38,5abd221b850005001b1aff35,Feinstaub_MS_PIUSALLEE,PM2.5,SDS 011,µg/m³,2024-01-17T14:00:00.000Z,46.1492880794702
31,5abd221b850005001b1aff35,7.64153,51.973023,5abd221b850005001b1aff38,5abd221b850005001b1aff35,Feinstaub_MS_PIUSALLEE,PM2.5,SDS 011,µg/m³,2024-01-18T15:00:00.000Z,46.5863184079602
32,5abd221b850005001b1aff35,7.64153,51.973023,5abd221b850005001b1aff38,5abd221b850005001b1aff35,Feinstaub_MS_PIUSALLEE,PM2.5,SDS 011,µg/m³,2024-01-19T16:00:00.000Z,46.44834162520729
33,5abd221b850005001b1aff35,7.64153,51.973023,5abd221b850005001b1aff38,5abd221b850005001b1aff35,Feinstaub_MS_PIUSALLEE,PM2.5,SDS 011,µg/m³,2024-01-20T17:00:00.000Z,46.28269867549669
34,5abd221b850005001b1aff35,7.64153,51.973023,5abd221b850005001b1aff38,5abd221b850005001b1aff35,Feinstaub_MS_PIUSALLEE,PM2.5,SDS 011,µg/m³,2024-01-21T18:00:00.000Z,46.84781818181818
35,5abd221b850005001b1aff35,7.64153,51.973023,5abd221b850005001b1aff38,5abd221b850005001b1aff35,Feinstaub_MS_PIUSALLEE,PM2.5,SDS 011,µg/m³,2024-01-22T19:00:00.000Z,47.605456053068
36,5acfae2a223bd8001977b61e,7.646677,51.988501,5acfae2a223bd8001977b621,5acfae2a223bd8001977b61e,PGKN FS03,PM2.5,SDS 011,µg/m³,2024-01-14T11:00:00.000Z,12.633539232053424
37,5acfae2a223bd8001977b61e,7.646677,51.988501,5acfae2a223bd8001977b621,5acfae2a223bd8001977b61e,PGKN FS03,PM2.5,SDS 011,µg/m³,2024-01-15T12:00:00.000Z,4.562155887230514
38,5acfae2a223bd8001977b61e,7.646677,51.988501,5acfae2a223bd8001977b621,5acfae2a223bd8001977b61e,PGKN FS03,PM2.5,SDS 011,µg/m³,2024-01-16T13:00:00.000Z,7.201378737541528
39,5acfae2a223bd8001977b61e,7.646677,51.988501,5acfae2a223bd8001977b621,5acfae2a223bd8001977b61e,PGKN FS03,PM2.5,SDS 011,µg/m³,2024-01-17T14:00:00.000Z,12.900808580858088
40,5acfae2a223bd8001977b61e,7.646677,51.988501,5acfae2a223bd8001977b621,5acfae2a223bd8001977b61e,PGKN FS03,PM2.5,SDS 011,µg/m³,2024-01-18T15:00:00.000Z,9.869766666666663
41,5acfae2a223bd8001977b61e,7.646677,51.988501,5acfae2a223bd8001977b621,5acfae2a223bd8001977b61e,PGKN FS03,PM2.5,SDS 011,µg/m³,2024-01-19T16:00:00.000Z,20.387316666666667
42,5acfae2a223bd8001977b61e,7.646677,51.988501,5acfae2a223bd8001977b621,5acfae2a223bd8001977b61e,PGKN FS03,PM2.5,SDS 011,µg/m³,2024-01-20T17:00:00.000Z,5.1116
43,5acfae2a223bd8001977b61e,7.646677,51.988501,5acfae2a223bd8001977b621,5acfae2a223bd8001977b61e,PGKN FS03,PM2.5,SDS 011,µg/m³,2024-01-21T18:00:00.000Z,3.4693677204658906
44,5acfae2a223bd8001977b61e,7.646677,51.988501,5acfae2a223bd8001977b621,5acfae2a223bd8001977b61e,PGKN FS03,PM2.5,SDS 011,µg/m³,2024-01-22T19:00:00.000Z,4.241819699499165
45,5b3e7f6f5dc1ec001be11cf1,7.569078,51.994149,5b3e7f6f5dc1ec001be11cf5,5b3e7f6f5dc1ec001be11cf1,U6B GTÜ SSH Bölling & Partner,PM2.5,SDS 011,µg/m³,2024-01-14T11:00:00.000Z,0.3612751677852349
46,5b3e7f6f5dc1ec001be11cf1,7.569078,51.994149,5b3e7f6f5dc1ec001be11cf5,5b3e7f6f5dc1ec001be11cf1,U6B GTÜ SSH Bölling & Partner,PM2.5,SDS 011,µg/m³,2024-01-15T12:00:00.000Z,4.9717449664429525
47,5b3e7f6f5dc1ec001be11cf1,7.569078,51.994149,5b3e7f6f5dc1ec001be11cf5,5b3e7f6f5dc1ec001be11cf1,U6B GTÜ SSH Bölling & Partner,PM2.5,SDS 011,µg/m³,2024-01-16T13:00:00.000Z,9.935075376884422
48,5b3e7f6f5dc1ec001be11cf1,7.569078,51.994149,5b3e7f6f5dc1ec001be11cf5,5b3e7f6f5dc1ec001be11cf1,U6B GTÜ SSH Bölling & Partner,PM2.5,SDS 011,µg/m³,2024-01-17T14:00:00.000Z,16.766112956810634
49,5b3e7f6f5dc1ec001be11cf1,7.569078,51.994149,5b3e7f6f5dc1ec001be11cf5,5b3e7f6f5dc1ec001be11cf1,U6B GTÜ SSH Bölling & Partner,PM2.5,SDS 011,µg/m³,2024-01-18T15:00:00.000Z,14.775852842809362
50,5b3e7f6f5dc1ec001be11cf1,7.569078,51.994149,5b3e7f6f5dc1ec001be11cf5,5b3e7f6f5dc1ec001be11cf1,U6B GTÜ SSH Bölling & Partner,PM2.5,SDS 011,µg/m³,2024-01-19T16:00:00.000Z,32.42755
51,5b3e7f6f5dc1ec001be11cf1,7.569078,51.994149,5b3e7f6f5dc1ec001be11cf5,5b3e7f6f5dc1ec001be11cf1,U6B GTÜ SSH Bölling & Partner,PM2.5,SDS 011,µg/m³,2024-01-20T17:00:00.000Z,5.458820598006644
52,5b3e7f6f5dc1ec001be11cf1,7.569078,51.994149,5b3e7f6f5dc1ec001be11cf5,5b3e7f6f5dc1ec001be11cf1,U6B GTÜ SSH Bölling & Partner,PM2.5,SDS 011,µg/m³,2024-01-21T18:00:00.000Z,2.7803678929765887
53,5b3e7f6f5dc1ec001be11cf1,7.569078,51.994149,5b3e7f6f5dc1ec001be11cf5,5b3e7f6f5dc1ec001be11cf1,U6B GTÜ SSH Bölling & Partner,PM2.5,SDS 011,µg/m³,2024-01-22T19:00:00.000Z,4.9925210084033615
54,5d6e465a953683001a2b62c5,13.369128,52.520151,5d6e465a953683001a2b62c6,5d6e465a953683001a2b62c5,Bundeskanzleramt,PM2.5,SDS 011,µg/m³,2024-01-14T11:00:00.000Z,2.5803056027164684
55,5d6e465a953683001a2b62c5,13.369128,52.520151,5d6e465a953683001a2b62c6,5d6e465a953683001a2b62c5,Bundeskanzleramt,PM2.5,SDS 011,µg/m³,2024-01-15T12:00:00.000Z,1.490569243840272
56,5d6e465a953683001a2b62c5,13.369128,52.520151,5d6e465a953683001a2b62c6,5d6e465a953683001a2b62c5,Bundeskanzleramt,PM2.5,SDS 011,µg/m³,2024-01-16T13:00:00.000Z,3.41522842639594
57,5d6e465a953683001a2b62c5,13.369128,52.520151,5d6e465a953683001a2b62c6,5d6e465a953683001a2b62c5,Bundeskanzleramt,PM2.5,SDS 011,µg/m³,2024-01-17T14:00:00.000Z,7.464606265876377
58,5d6e465a953683001a2b62c5,13.369128,52.520151,5d6e465a953683001a2b62c6,5d6e465a953683001a2b62c5,Bundeskanzleramt,PM2.5,SDS 011,µg/m³,2024-01-18T15:00:00.000Z,4.292301184433164
59,5d6e465a953683001a2b62c5,13.369128,52.520151,5d6e465a953683001a2b62c6,5d6e465a953683001a2b62c5,Bundeskanzleramt,PM2.5,SDS 011,µg/m³,2024-01-19T16:00:00.000Z,3.993660185967878
60,5d6e465a953683001a2b62c5,13.369128,52.520151,5d6e465a953683001a2b62c6,5d6e465a953683001a2b62c5,Bundeskanzleramt,PM2.5,SDS 011,µg/m³,2024-01-20T17:00:00.000Z,3.1483079526226736
61,5d6e465a953683001a2b62c5,13.369128,52.520151,5d6e465a953683001a2b62c6,5d6e465a953683001a2b62c5,Bundeskanzleramt,PM2.5,SDS 011,µg/m³,2024-01-21T18:00:00.000Z,1.5251269035532995
62,5d6e465a953683001a2b62c5,13.369128,52.520151,5d6e465a953683001a2b62c6,5d6e465a953683001a2b62c5,Bundeskanzleramt,PM2.5,SDS 011,µg/m³,2024-01-22T19:00:00.000Z,1.3683898305084743
63,5d91f4bb5f3de0001ab6bb78,7.631939,51.954339,5d91f4bb5f3de0001ab6bb79,5d91f4bb5f3de0001ab6bb78,Reedu GmbH & Co. KG,PM2.5,SDS 011,µg/m³,2024-01-14T11:00:00.000Z,4.480088495575221
64,5d91f4bb5f3de0001ab6bb78,7.631939,51.954339,5d91f4bb5f3de0001ab6bb79,5d91f4bb5f3de0001ab6bb78,Reedu GmbH & Co. KG,PM2.5,SDS 011,µg/m³,2024-01-15T12:00:00.000Z,1.559265734265734
65,5d91f4bb5f3de0001ab6bb78,7.631939,51.954339,5d91f4bb5f3de0001ab6bb79,5d91f4bb5f3de0001ab6bb78,Reedu GmbH & Co. KG,PM2.5,SDS 011,µg/m³,2024-01-16T13:00:00.000Z,2.930415944540728
66,5d91f4bb5f3de0001ab6bb78,7.631939,51.954339,5d91f4bb5f3de0001ab6bb79,5d91f4bb5f3de0001ab6bb78,Reedu GmbH & Co. KG,PM2.5,SDS 011,µg/m³,2024-01-17T14:00:00.000Z,4.5219190140845065
67,5d91f4bb5f3de0001ab6bb78,7.631939,51.954339,5d91f4bb5f3de0001ab6bb79,5d91f4bb5f3de0001ab6bb78,Reedu GmbH & Co. KG,PM2.5,SDS 011,µg/m³,2024-01-18T15:00:00.000Z,4.090633130962706
68,5d91f4bb5f3de0001ab6bb78,7.631939,51.954339,5d91f4bb5f3de0001ab6bb79,5d91f4bb5f3de0001ab6bb78,Reedu GmbH & Co. KG,PM2.5,SDS 011,µg/m³,2024-01-19T16:00:00.000Z,7.503304347826086
69,5d91f4bb5f3de0001ab6bb78,7.631939,51.954339,5d91f4bb5f3de0001ab6bb79,5d91f4bb5f3de0001ab6bb78,Reedu GmbH & Co. KG,PM2.5,SDS 011,µg/m³,2024-01-20T17:00:00.000Z,2.268526591107236
